Name,Date,Perennial Inventory,Perennial Seeding,Annuals,Action,Notes,Total,Key terms,Attachments,Attachments (from syncToGarden),syncToGarden
20220304-Purchase,2022-03-04,"""Scutellaria incana (Skullcap) (GHpot, 199)"",""Scutellaria incana (Skullcap) (GHpot, 200)"",""Scutellaria incana (Skullcap) (GHpot, 201)"",""Scutellaria incana (Skullcap) (GHpot, 202)"",""Sabatia kennedyana (Plymouth rose gentian) (OCZSun, 203)"",""Sabatia kennedyana (Plymouth rose gentian) (DEAD, 204)"",""Sabatia kennedyana (Plymouth rose gentian) (DEAD, 205)"",""Sabatia kennedyana (Plymouth rose gentian) (DEAD, 206)""",,,Purchase,,,Dutch Buffalo Farm,,,
20220301-Wishlist,2022-03-01,,,,Wishlist,"
bluets Houstonia caerulea - s berm, glade
fire pink Silene virginica- s berm
sharp lobed hepatica Hepatica nobilis acuta or Anemone acutiloba- s berm, glade

Purchase southeastern native plants grown at the North Carolina Botanical Garden’s own nursery as well as at Cure Nursery, Field to Cottage Nursery, Growing Wild Nursery, and Mellow Marsh Farm.",,,,,
20220227-Purchase,2022-02-27,"""Lovage (DEAD, 195)"",""Artichoke 'Imperial Star' (DEAD, 196)"",""Artichoke 'Imperial Star' (DEAD, 197)""",,,Purchase,"lovage, 2 imperial artichoke	
Clowderwood/Gardens/Purchases/20220227GardenersExchange.pdf",,Grower's Exchange,,,
20220226-Planted,2022-02-26,"""Elephantopus tomentosus (MANY, 107)"",""'Blonde de Lyon’ Garden Sorrel (GNb-E, 150)"",""Rumex acetosa (Garden Sorrel) (seeded, 188)"",""Homesteader's Kaleidoscopic Perennial Kale Grex (GSeedBank, 189)"",""Endeavor Endive Mix (GSeedBank, 190)"",""Wild Garden II Chicory (GSeedBank, 191)"",""Deitrich's Wild Broccoli Raab (GSeedBank, 192)"",""Malva moschata (Tinker Ridge Musk mallow) (GSeedBank, 193)"",""Lovage (seeded, DEAD, 194)""",,,Planted,"Planted NM east half with viking . West half with Red Norland. Additional Red Norland at Sw border intersection with S border.
Planted Endeavor Endive mix , Tinker Ridge Musk Mallow, Lovage, Garden sorrel, Wild Garden II chicory on the raised bed of the N border. 
Transplanted and divided sorrel from the NNE bed to the East edge of raised bed.
Planted Bouquet Dill, Dill Dukat along N border and N W border.
Planted Homesteaders Kaleidoscopic perennial kale grex and Deitrich's wild brocoli raab around the corner of N border and N W border and some of NW border.
Planted last of 2018 Not yo Grandma's greesn in the SS bed.
Transplanted sochan to the E ends of the SS bed and the SM bed. 
Transplanted elephant's foot out of the garden into the NW corner of meadow near redbud, N of the persimmon, W end of N berm.


",,,,,
20220221-Purchase,2022-02-21,"""Rhus coppalinum (winged/dwarf sumac) (DEAD, 207)"",""Rhus coppalinum (winged/dwarf sumac) (DEAD, 208)"",""Aesculus sylvatica (Painted buckeye) (GHpot, 209)"",""Aesculus sylvatica (Painted buckeye) (GHpot, 211)""",,,Purchase,,,Dutch Buffalo Farm,,,
20220213-PLAN to plant,2022-02-13,,"""Malva moschata (Tinker Ridge Musk mallow) (, 6)""",Sweet Lorane fava bean (SE),PLAN to plant,"Lemon bergamont, borage, poppies,  - before corn & okra?
Lemon bergamont & musk mallow in HK with wildflowers
musk mallow and sorrel on NW border berm",,,,,
"20220213-Planted, Location, Propagation",2022-02-13,"""Malykin peony (Circ, 182)"",""Malykin peony (Circ, 183)"",""Malykin peony (Circ, 184)"",""Malykin peony (Circ, 185)"",""Aunt Rachel Peony (Circ, 180)"",""Aunt Rachel Peony (Circ, 181)""",,,"Planted,Location,Propagation","Dug up peonies from east yeard border and moved to center front of circle. Aunt Rachael peony broke in half so put smaller half to east edge of the circle segment with rain gauge, larger half to west edge. Two segments of Malykin peony between Aunt Rachel's and behind the rain gauge. Two segments of Malykin peony in the east front segment. Didn't put any in the west front segment because the stump is still rotting.

All had nice ""eyes"" ",,,,,
"20220212-Arrival, Planted",2022-02-12,"""Pityopsis graminifolia (narrowleaf silkgrass) (DEAD, 163)"",""Blephilia ciliata (Downy wood mint) (OCoffDeck, 169)"",""Blephilia ciliata (Downy wood mint) (OCZSun, 170)"",""Blephilia ciliata (Downy wood mint) (OCoffDeck, 171)"",""Pityopsis graminifolia (narrowleaf silkgrass) (DEAD, 164)"",""Symphyotrichum oblongifolium (Aromatic aster) (OCZSun, 159)"",""Symphyotrichum oblongifolium (Aromatic aster) (OSB, 160)"",""Symphyotrichum oblongifolium (Aromatic aster) (ONB, 161)"",""Symphyotrichum oblongifolium (Aromatic aster) (Cop1, 162)"",""Coreopsis lanceolata (Lanceleaf coreopsis) (OCZSun, 167)"",""Marshallia obovata (Barbara’s buttons) (OCZSun, 165)"",""Marshallia obovata (Barbara’s buttons) (OCZSun, 166)"",""Rudbeckia fulgida (Brown eyed Susan) (ONB, 153)"",""Rudbeckia fulgida (Brown eyed Susan) (ONB, 154)"",""Rudbeckia fulgida (Brown eyed Susan) (ONB, 155)"",""Vernonia lettermanii (Letermans vernonia) (ONB, 156)"",""Vernonia lettermanii (Letermans vernonia) (ONB, 157)"",""Vernonia lettermanii (Letermans vernonia) (OCZSun, 158)"",""Centrosema virginianum (Spurred butterfly pea) (OCZSun, 168)"",""Blephilia ciliata (Downy wood mint) (OSB, 172)""",,,"Arrival,Planted",,,,,,
20220212-Care,2022-02-12,"""""""Malus pumila """"""""Grimes Golden"""""""""""" (OCZSun, 35)"",""""""Malus pumila """"""""Johnson Keeper"""""""""""" (OCZSun, 36)"",""Malus pumila 'Aunt Rachel' (OCZSun, 34)"",""""""Prime-Ark® Traveler Thornless, Primocane-Fruiting Blackberry"""" (OCZSun, 26)"",""""""Prime-Ark® Traveler Thornless, Primocane-Fruiting Blackberry"""" (OCZSun, 27)"",""Dustan Chestnut (ONB, 133)"",""Blackberry fruiting cane type (OCZSun, 23)"",""Blackberry fruiting cane type (OCZSun, 24)"",""Blackberry fruiting cane type (OCZSun, 25)"",""Prok persimmon (OCZSun, 174)"",""Chicago Hardy (ONB, 56)""",,,Care,Pruning in orchard fence (mostly),,,,,
20220212-Observe,2022-02-12,"""Dustan Chestnut (OCZSun, 134)"",""Pawpaw var Wells (OCpicnic, 77)"",""Pawpaw Wynns winner seedling (OCpicnic, 176)"",""Pawpaw Wynns winner seedling (OCpicnic, 177)"",""Pawpaw Wynns winner seedling (OCpicnic, 178)"",""Pawpaw  (OCpicnic, 179)""",,,Observe,Chestnut in sun didn't need pruning.,,,,,
20220207-Observe,2022-02-07,"""Helleborus X ‘White Lady’ (FrtW, 151)"",""Helleborus X 'Winter Delights Violet' (FrtE, 120)"",""Helleborus 'Tropical Sunset' HONEYMOON® Series (FrtE, 118)""",,,Observe,Many prominent blossoms on White Lady. One Winter delights violet. Buds on the tropical sunset but no blooms particularly visible in the gloom.,,,,,
20220129-Purchase,2022-01-29,"""Pityopsis graminifolia (narrowleaf silkgrass) (DEAD, 163)"",""Blephilia ciliata (Downy wood mint) (OCoffDeck, 169)"",""Blephilia ciliata (Downy wood mint) (OCZSun, 170)"",""Blephilia ciliata (Downy wood mint) (OCoffDeck, 171)"",""Pityopsis graminifolia (narrowleaf silkgrass) (DEAD, 164)"",""Symphyotrichum oblongifolium (Aromatic aster) (OCZSun, 159)"",""Symphyotrichum oblongifolium (Aromatic aster) (OSB, 160)"",""Symphyotrichum oblongifolium (Aromatic aster) (ONB, 161)"",""Symphyotrichum oblongifolium (Aromatic aster) (Cop1, 162)"",""Coreopsis lanceolata (Lanceleaf coreopsis) (OCZSun, 167)"",""Marshallia obovata (Barbara’s buttons) (OCZSun, 165)"",""Marshallia obovata (Barbara’s buttons) (OCZSun, 166)"",""Rudbeckia fulgida (Brown eyed Susan) (ONB, 153)"",""Rudbeckia fulgida (Brown eyed Susan) (ONB, 154)"",""Rudbeckia fulgida (Brown eyed Susan) (ONB, 155)"",""Vernonia lettermanii (Letermans vernonia) (ONB, 156)"",""Vernonia lettermanii (Letermans vernonia) (ONB, 157)"",""Vernonia lettermanii (Letermans vernonia) (OCZSun, 158)"",""Centrosema virginianum (Spurred butterfly pea) (OCZSun, 168)"",""Blephilia ciliata (Downy wood mint) (OSB, 172)""",,,Purchase,"For 2022-02-12 pickup at Dutch Buffalo, see Clowderwood/Gardens/Purchases/20220129DutchBuffalo.pdf ",,,,,
20220127-Observe,2022-01-27,"""Malykin white hyacinth (OSB, 7)"",""Malykin white hyacinth (OSB, 8)"",""Roman Pink Hyacinth (OSB, 12)"",""Helleborus 'Tropical Sunset' HONEYMOON® Series (FrtE, 118)"",""Helleborus X 'Winter Delights Violet' (FrtE, 120)"",""Helleborus X ‘White Lady’ (FrtW, 151)""",,,Observe,One of the Malykin hyacinth and the Roman hyacinth have sprouted. Daffodils in the orchard meadow near the center apple sprouted and some in the moss garden have sprouted. All the hellebores have buds about to bloom.,,,,,
"20220124-Arrival, Care",2022-01-24,"""American hazelnut (Rain, 127)"",""Sweetbay magnolia (DEAD, 128)"",""Sasafrass (DEAD, 129)"",""Southern Crabapple (Island, 130)""",,,"Arrival,Care","Picked up and heeled in to garden plot: 
[ ] 5*2.50 = 12.5 : hazels $2.5 3-5 ft apart 18 ft -- buy 5 for NE border -- fence area
[ ] 3*3 = 9 magnolias for west of orchard 3 fenced plants
[ ] 4 southern crab apple - drive island

Inside getting water in south window: 1*5.5 = 5.5 sassafrass for S Orchard berm where grape is now (lower on south side.
",,CFH,"2021-22_order_form_web.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/oewLGtj_vKdXDkWozpLS3Q/YwKJvkeRkA9v60cgUhz2LrV1EV9cx5iHTHTnpxuzmmvASDaxGA2o8YpjfJhSUJyqSaXYCLjupeAcrJTXgmq-4cp2T4zbZCxxHEGg0N9XIyC2qyrnyJo9oST7sisoL93CPDDH9qeZtXh2tYJSvmtUNprCAnlfjp9UnuX2LsVCaZQ/cLyRiZ8wKeBWOVa_6NWY1KbredYH6i5WralYuw4B6KM),QBPOS Sales Order 12377-1.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/tmlo6fYf-_Yif_wtpjBVlw/L9uTLoVPS4wD0YNUkGLrgvZnID1M-vmezKvJZ_Mj_fZZo3SThmBNr8G-EP3kUd1XxRgun_v9dphbZK3D9LMsQFrT2Wa7PUw3M5HgDSMIlHl4Y7oerVz-bgKRkTyy9q2aHl9pKg56CIZF3iBJKmnbr0rVd3BZTFZy--fQyKKq8Qo/sk7x3ze9-9KhRbeH5CXtg3Wp93bahuaqcb1UZuBpHcU)",,
20220118-Purchase,2022-01-18,,,,Purchase,"ProductQuantityPriceTotal
Dill, Dukat, 0.75 g
1$2.50$2.50 Roselle, Thai Red, 0.6 g
1$2.95$2.95 Cossack Pineapple Ground Cherry, 0.06 g
1$2.95$2.95 Hickory King Dent Corn, 42 g
1$2.50$2.50 Cumin, 0.5 g
1$2.50$2.50T ahitian Melon Winter Squash, 3 g
1$2.75$2.75Sub-Total:$16.15USPS:$4.50Sales Tax:$1.46Total:$22.11",,SouthernExchange,,,
20220116-Wishlist,2022-01-16,,,,Wishlist,"http://www.newgardenplants.com/productdetails.aspx?product=Spigelia-Little-Redhead&prodID=2290 -- for S berm with the columbine

http://www.newgardenplants.com/productdetails.aspx?product=Masterwort-Roma&prodID=262 -- foreground plant for front porch garden

http://www.newgardenplants.com/productdetails.aspx?product=Catnip-Walkers-Low&prodID=125 

http://www.newgardenplants.com/productdetails.aspx?product=Muhly-Grass-Pink-Hairgrass&prodID=1645 pink muhly grass

>> similar pink, compact - http://www.newgardenplants.com/productdetails.aspx?product=Monarda-Bubblegum-Blast-ppaf&prodID=1802  or big mildew resistant http://www.newgardenplants.com/productdetails.aspx?product=Marshalls-Delight-Bee-Balm&prodID=121  or early small mildew resistant http://www.newgardenplants.com/productdetails.aspx?product=Monarda-didyma-Balmy%E2%84%A2-Pink&prodID=2377 

http://www.newgardenplants.com/productdetails.aspx?product=Dynamo-Hens-n-Chicks-Sempervivum&prodID=2339  or http://www.newgardenplants.com/productdetails.aspx?product=Red-Beauty&prodID=173 or http://www.newgardenplants.com/productdetails.aspx?product=Fire-Spinner--Ice-Plant&prodID=1218 near back porch rosemary

Geranium
'Rozanne' Cranesbill
Geranium 'Rozanne' pp12175
http://www.newgardenplants.com/productdetails.aspx??product=Rozanne-Cranesbill&prodID=309
http://www.newgardenplants.com/productdetails.aspx??product=Boom-Chocolatta-PPAF&prodID=2138
https://www.thespruce.com/geranium-rozanne-a-garden-standout-1403546",,NewGardenPlants,,,
20220116-Wishlist,2022-01-16,,,,Wishlist,"Blephilia ciliata, Downy wood mint, Deep cell OC1
Marshallia obovata, Barbaras buttons, OC1

Symphyotrichum oblongifolium, Aromatic aster OC2
Eutrochium dubium, Coastal Joe Pie weed, OC1
Eryngium yuccifolium, Rattlesnake master, OC2
Vernonia lettermanii, Letermans vernonia, OC3

Ampelaster carolinianus, Climbing aster, OC2
",,Dutch Buffalo Farm,,,
20220102-Purchase,2022-01-02,,,,Purchase,"Dark Red Norland 1 lb, Purple Viking 1 lb",,CFH,2021-22_potato_order_form.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/lxN0vuwoO9GTEb5logp5Pw/W0LgSAtu7srnM67pTjSF3uoB4U-FPh6VqNDYJ4UlLwIucjM6zXJd8QBzniF_EH46o5iSHKXotWdSz5PgkSTqAD4XBjhTQe9-B6nROiAx-Xh6ZUTW6AHnRgn1-cE1UB0vDPWjFd0Ootelb3znD00CHHuMJ8WtTXW08_7C-EQzBTQ/dw1YGNbMGIbvmPObOiQsgww5iTGmuPtYrNkILhyr_QI),,
20220102-Observe,2022-01-02,"""Saffron crocus (GNWb-N, 146)""",,,Observe,Looks like several have survived various maltreatments. Might have star of bethlehem mixed in?,,,,,
20220102-Observe,2022-01-02,"""Symphoricarpos orbiculatus (coralberry) (Other, 147)""",,,Observe,"https://www.inaturalist.org/observations/104282070
",,,,,
20211231-Planted,2021-12-31,"""Rhus glabra (smooth sumac) (EYBB, 141)""",,,Planted,"Planted just east of the north square of the garden plot, between-ish the two cedars.",,MailOrderNatives,,,
20211222-Planted,2021-12-22,"""Cercis canadensis (eastern redbud) (Cop1, 139)""",,,Planted,"Dug from garden, took photo, pruned off secondary stem, planted where the golden rod stand is on east side of house, south of the yaupon holly, dogwoods, and elm. Put tube of deer net around it.",,,20211222_144032.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/gD-oc7zrVeIdnw5ORZ4_PQ/ceK9xOf8aIyQQHtLK9NGBZcalz37LZrSrGSdgTbwYQWVfjvzP1UO-CoGdUE5AQp_pAXe5hu3RkMkorAzKLqAiog5O_z6dhLDAJjYYoaGg0Ify8xzHm1tAz-du3V2rcF2r1a7xAqQqoj6mmLevgl1DQ/elIRmMzIVuZpNFAMjPMJPqSkTeDt2TtLQjV9NHOS2HA),,
20211216-Purchase,2021-12-16,"""Rhus glabra (smooth sumac) (EYBB, 141)""",,,Purchase,"The  plum is for Laura :

Your order number is 23911
An email will be sent containing information about your purchase. If you have any questions about your purchase, email us at mailordernatives@gmail.com or call us at (850) 973-7371.
Order Summary

 Print
2 Items
- 
- 1 x Rhus glabra Smooth Sumac
- $9.00
- 
- 1 x Prunus angustifolia 'Guthrie' Plum 1 gallon
- $14.00
Subtotal $23.00
Shipping $15.00
Tax $0.00
Total (USD) $38.00",,MailOrderNatives,,,
20211107-Wishlist,2021-11-07,,,,Wishlist,"Willis: Some interesting  fruits. Bad pecan choices.

Willis is of uncertain/un reliable quality. Possibly good deals. Mayhaws are interesting. Indian blood!! 
https://www.willisorchards.com


Cape Fear Pecan Tree   (Ships Later) 
 2-3' (Grafted) - $14.95 Ships: 12/15/2021 - 04/15/2022
  
  xIndian Blood Peach Tree   (Ships Later) 
 2-3' - $14.95 Ships: 12/01/2021 - 04/01/2022
   
  xGeorgia Native Chinquapin Tree   (Ships Later) 
 12-18"" Tall (Authentic Product)(Sale Price) - $8.95 Ships: 12/01/2021 - 04/01/2022
   
  xElliot Pecan Tree   (Ships Later) 
 2-3' (Grafted) - $14.95 Ships: 12/15/2021 - 04/15/2022
   
  xAmerican Crabapple Tree   (Ships Later) 
 +/-1' (Seed-Grown) - $3.95 Ships: 12/01/2021 - 04/01/2022
   
  xReliable Mayhaw Tree   (Ships Later) 
 +/-2' - $12.95 Ships: 12/01/2021 - 04/01/2022
   
  xChickasaw Plum Tree   (Ships Later) 
 1-2' Seedling (Authentic) - $4.95 Ships: 12/01/2021 - 04/01/2022
  
 xBig Red Mayhaw Tree   (Ships Later) 
 +/-2' - $12.95 Ships: 12/01/2021 - 04/01/2022",,,,,
