Name,Code,Inventory,Perennial Inventory,Genetics,Scientific name,Header,Terms,height (ft),Δh (ft),width (ft),Δw(ft),Google patent,Origin,Use,W2W?,History,2022 ideas,Notes,Supplier notes,Suppliers,Pollinator,Attachments,Perennial Seeding,Pollen Pairing,pecan matrix,pecan matrix 2,Pollen shed start,Pollen shed stop,Pollen receive start,Polle n receive stop,last update,Field 33,Bloom time,Flower,Foliage
Read more at: https://strawberries.ces.ncsu.edu/straberry-breeding-progam/strawberries-plasticulture-considerations-varieties/,,1,"""Read more at: https://strawberries.ces.ncsu.edu/straberry-breeding-progam/strawberries-plasticulture-considerations-varieties/ (Broad, 65)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/2022 7:05am,,,,
Spring beauties,Have,3,"""Spring beauties (Other, 212)"",""Spring beauties (Other, 213)"",""Spring beauties (OCZSun, 227)""",Species,,,,,,,,,,,,,,,,,,,,,,,,,,,5/4/2024 7:59am,,,,
Thymus 'Pink Chintz',,0,,,,,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",NewGarden,,,,,,,,,,,,8/20/2023 6:05pm,,"late spring,summer",pink purple,evergreen
Witchhazel,Have,1,"""Witchhazel (Other, 81)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/2024 5:19pm,,,,
Coleus 'Trailing Plum' ,Have,2,"""Coleus 'Trailing Plum'  (GHpot, 220)"",""Coleus 'Trailing Plum'  (DEAD, 221)""",Clone, Solenostemon scutellarioides 'Trailing plum',,,,,,,,,,,,,,,,,,,,,,,,,,5/7/2022 5:08pm,,,,
Agertina altissima (White snake root),DBF2022Want,0,,Species,Agertina altissima,,species,,,,,,NC - Piedmont,"naturalizing,orchard-sun",,,,"2022DBF orchard meadow plant showy white flowers, spreads

Could plant on S Orchard berm, picnic island, under chestnuts,  glade and meadow edges
https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277391
Easily grown in average, medium to wet, well-drained soils in full sun to part shade. Prefers part shade in moist, humusy soils. Does reasonably well in dryish soils however. These plants have decidedly better shade tolerance than most other species of Eupatorium. Deadhead spent flower heads to avoid any unwanted self-seeding. Easily grown from seed.

","Dutch Buffalo Farm list 2022, with origin code 1",Agertina altissima (White snake root)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Ampelaster carolinianus (Climbing aster),Less interesting,0,,Species,Ampelaster carolinianus,,species,,,,,,NC - Piedmont,naturalizing,,,"could plant near N orchard fence, NW corner","sprawling, maybe by the orchard fence? https://plants.ces.ncsu.edu/plants/ampelaster-carolinianus/","Dutch Buffalo Farm list 2022, with origin code 2",Ampelaster carolinianus (Climbing aster)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Aquilegia canadensis (Eastern columbine),Have,0,,Species,Aquilegia canadensis,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Aquilegia canadensis (Eastern columbine)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Asarum canadense (wild ginger),Interesting,0,,Species,Asarum canadense,,,,,,,,,under walnut,,,,,,,,,,,,,,,,,5/5/2024 5:31pm,,,,
Athyrium filix-femina (Lady fern),,0,,,Athyrium filix-femina,,,,,,,,,under walnut,,,,,,,,,,,,,,,,,1/16/2022 1:54pm,,,,
Carex lurida (Lurid sedge),Dutch Buffalo Farm,0,,Species,Carex lurida,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Carex lurida (Lurid sedge)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Carex vulpinoides (Fox sedge),Dutch Buffalo Farm,0,,Species,Carex vulpinoides,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Carex vulpinoides (Fox sedge)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Chrysopis mariana (Maryland golden aster),Less interesting,0,,Species,Chrysopis mariana,,species,,,,,,US - Southeast,naturalizing,,,,"Meh. Yellow during the yellow season.

Best grown in sandy, medium moisture, well-drained soils in full sun. Tolerates light shade. Established plants have some drought tolerance. May reseed in the garden in optimum conditions. Reseeding helps retain this short-lived perennial in the garden. - https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277586&isprofile=0&","Dutch Buffalo Farm list 2022, with origin code 3",Chrysopis mariana (Maryland golden aster)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Cirsium discolor (Prairie thistle),Interesting,0,,Species,Cirsium discolor,,species,,,,,,US - Southeast,naturalizing,,,,"Fall purple - i suppose it could be in the meadow
http://www.namethatplant.net/plantdetail.shtml?plant=2547","Dutch Buffalo Farm list 2022, with origin code 3",Cirsium discolor (Prairie thistle)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Clematis ochroleuca (Curly heads),DBF2022Want,0,,Species,Clematis ochroleuca,,species,,,,,,NC - Piedmont,naturalizing,,,,"Seems OK for the Orchard
Curlyhead Clematis is a native perennial sub-shrub in the buttercup family found in dry woodland, sandy grasslands, rocks, or disturbed sites in the eastern United States and the Piedmont of NC. It has a neat habit, growing 1-2 feet tall and 1 foot wide. The fuzzy, pendulous, solitary bell-shaped flowers occur April to June and the seed heads that follow are quite ornamental.
https://plants.ces.ncsu.edu/plants/clematis-ochroleuca/","Dutch Buffalo Farm list 2022, with origin code 2",Clematis ochroleuca (Curly heads)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Conoclinium coelestinum (Blue mist flower),DBF2022Want,0,,Species,Conoclinium coelestinum,,species,,,,,,NC - Piedmont,"naturalizing,pink-blue deck garden",,,,"https://plants.ces.ncsu.edu/plants/conoclinium-coelestinum/ -- apparently resistant to deer, ","Dutch Buffalo Farm list 2022, with origin code 1",Conoclinium coelestinum (Blue mist flower)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Cunila origanoides (American dittany),Dutch Buffalo Farm,0,,Species,Cunila origanoides,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 2",Cunila origanoides (American dittany)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Cynoglossum virginianum (Blue hounds tongue),Dutch Buffalo Farm,0,,Species,Cynoglossum virginianum,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Cynoglossum virginianum (Blue hounds tongue)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Dalea purpurea (Purple prairie clover),Dutch Buffalo Farm,0,,Species,Dalea purpurea,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Dalea purpurea (Purple prairie clover)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
KahoriⓇ Dianthus,Have,0,,,Dianthus 'Kahori',,no patent,,,,,,,,,$3.98 from Lowes at some point,,"Not patented, described in other patent as ""‘A12228-0’ can be most closely compared to Dianthus cultivars ‘Kahori’ (not patented) and ‘A12231-0’. ‘Kahori’ differs from ‘A12228-0’ in having a shorter blooming season (June to August) and flowers that are less bright in color with petals that are less overlapping.""",,,,,,,,,,,,,7/16/2021 6:33pm,,,,
Nikita's Gift,Interesting,0,,,Diospyrus kaki x virginiana 'Nikita's Gift',,no patent,,,,,,Cultivar,"naturalizing,landscaping",,,,"Hearty in Carolinas per growingsmallfarms list, ""(more cold hardy) are good too, but shield them from western late day sun to minimize the probability of sudden death syndrome.""",,,,,,,,,,,,,5/5/2024 5:31pm,,,,
Doellingaria umbellata (Flat topped white aster),Dutch Buffalo Farm,0,,Species,Doellingaria umbellata,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Doellingaria umbellata (Flat topped white aster)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Eryngium yuccifolium (Rattlesnake master),Dutch Buffalo Farm,0,,Species,Eryngium yuccifolium,,species,,,,,,NC - Piedmont,"naturalizing,under walnut",,,"W of drive, apparently ok with jungalone",juglone https://www.heritageflowerfarm.com/laugh-at-walnut-trees/,"Dutch Buffalo Farm list 2022, with origin code 2",Eryngium yuccifolium (Rattlesnake master)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Erythronium americanum (Trout lily),Dutch Buffalo Farm,0,,Species,Erythronium americanum,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Erythronium americanum (Trout lily)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Eubotrys racemosa (Swamp doghobble),Interesting,0,,Species,Eubotrys racemosa,,species,4.50,1.50,4.50,1.50,,,deer ignore,,,,"Showy flowers, foliage ; thickety. Needs more shade than rain garden offers. 
https://plants.ces.ncsu.edu/plants/eubotrys-racemosa/
",,Eubotrys racemosa (Swamp doghobble)@CFH2021MM,,,,,,,,,,,5/5/2024 5:31pm,,,,
Eutrochium dubium (Coastal Joe Pie weed),Dutch Buffalo Farm,0,,Species,Eutrochium dubium,,species,4.50,1.50,3.00,1.00,,NC - Piedmont,"naturalizing,under walnut",,,w of drive,,"Dutch Buffalo Farm list 2022, with origin code 1",Eutrochium dubium (Coastal Joe Pie weed)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Eutrochium fistulosum (Hollow Joe Pie weed),Dutch Buffalo Farm,0,,Species,Eutrochium fistulosum,,species,6.00,2.00,3.00,1.00,,NC - Piedmont,"naturalizing,under walnut",,,in meadow,,"Dutch Buffalo Farm list 2022, with origin code 1",Eutrochium fistulosum (Hollow Joe Pie weed)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Galax urecolata (Galax),Dutch Buffalo Farm,0,,Species,Galax urecolata,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Galax urecolata (Galax)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Geranium 'Johnson's Blue',Interesting,0,,,Geranium 'Johnson's Blue',,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",NewGarden,,,,,,,,,,,,5/5/2024 5:31pm,,"late spring,autumn",blue purple,
Geum 'Tequila Sunrise',Interesting,0,,Selection,Geum 'Tequila Sunrise',,,1.75,0.25,1.08,0.08,,Cultivar,"deer ignore,ground cover,yellow&purple",,,,"Producing both single and semi-double yellow rose-like flowers that are flushed with sunset shades of orange
Bloom on airy scapes over glossys foliage from late spring to early summer",,Geum 'Tequila Sunrise'@New Garden,,,,,,,,,,,8/22/2021 7:17pm,,,,
Helenium autumnale (Helens flower),Dutch Buffalo Farm,0,,Species,Helenium autumnale,,species,4.00,1.00,2.50,0.50,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Helenium autumnale (Helens flower)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Heliopsis helianthoides (Ox eye daisy),Dutch Buffalo Farm,0,,Species,Heliopsis helianthoides,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 2",Heliopsis helianthoides (Ox eye daisy)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Hibiscus moeshutos (Swamp rose mallow),Dutch Buffalo Farm,0,,Species,Hibiscus moeshutos,,species,,,,,,NC - Piedmont,naturalizing,,,,TYPO AT SOURCE; merge after adding supplier,"Dutch Buffalo Farm list 2022, with origin code 1",Hibiscus moeshutos (Swamp rose mallow)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Hystrix patula (Bottlebrush grass),Dutch Buffalo Farm,0,,Species,Hystrix patula,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Hystrix patula (Bottlebrush grass)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Juncus effusus (Soft rush),Dutch Buffalo Farm,0,,Species,Juncus effusus,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Juncus effusus (Soft rush)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Liatris spicata,Have,1,"""Liatris spicata (ONB, 66)""",,Liatris spicata,,,,,,,,,,,,,,,,,,,,,,,,,,9/21/2021 7:24am,,,,
Liatris squarrulosa (Appalachian blazing star),Dutch Buffalo Farm,0,,Species,Liatris squarrulosa,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Liatris squarrulosa (Appalachian blazing star)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
 Lysimachia lanceolata 'Burgundy Mist',Interesting,0,,Selection,Lysimachia lanceolata var. purpurea,,,,,,,,,yellow&purple,,,,"an increasing popular cultivar is that of Lysimachia lanceolata (sold as var. purpurea) has striking purple foliage and comes back true from seed. It was found by renowned plantsmen Peter Heus and Mike Berkley while botanizing in West Virginia. The latter planted it at his Nashville, Tennessee, nursery as a trial where it performed admirably, then shared it to the trade. -- https://www.izelplants.com/blog/cultivars-dont-shoot-the-messenger/",, Lysimachia lanceolata 'Burgundy Mist'@TennNaturescapes,,,,,,,,,,,5/5/2024 5:31pm,,,,
Red Mulberry,Have,0,,Species,Morus rubra,,species,,,,,,,,,,,,,,,,,,,,,,,,8/22/2021 7:26pm,,,,
Everbearing Mulberry,Interesting,0,,Clone,Morus x,,heirloom,,,,,,,"fruit,naturalizing",,,,"Bushlike growth, Height 10' - 15'; Spread15' - 20' per Chestnut Hill
Possibly Morus rubra?",,"Everbearing Mulberry@Chestnut Hill,Everbearing Mulberry@Peaceful Heritage (KY)",Better with other plant,,,,,,,,,,8/22/2021 7:25pm,,,,
Myrica cerifera,Have,2,"""Myrica cerifera (Other, 49)"",""Myrica cerifera (EYBN, 226)""",Species,Myrica cerifera,,species,,,,,,,,,,,,,,,,,,,,,,,,5/4/2024 7:53am,,,,
Oligoneuron album (Prairie goldenrod),Dutch Buffalo Farm,0,,Species,Oligoneuron album,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Oligoneuron album (Prairie goldenrod)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:49pm,,,,
Onethea biennes (Evening primrose),Dutch Buffalo Farm,0,,Species,Onethea biennes,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Onethea biennes (Evening primrose)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:49pm,,,,
Osmorhiza longistylis (Anise root),Dutch Buffalo Farm,0,,Species,Osmorhiza longistylis,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Osmorhiza longistylis (Anise root)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:49pm,,,,
Parthenium integrifolium (Wild quinine),Dutch Buffalo Farm,0,,Species,Parthenium integrifolium,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Parthenium integrifolium (Wild quinine)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:49pm,,,,
Passiflora incarnata (Passionflower),Dutch Buffalo Farm,0,,Species,Passiflora incarnata,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Passiflora incarnata (Passionflower)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:50pm,,,,
Penstemon digitalis (Foxglove beardtongue),Dutch Buffalo Farm,0,,Species,Penstemon digitalis,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Penstemon digitalis (Foxglove beardtongue)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:50pm,,,,
Pontedaria cordata (Pickerel weed),Dutch Buffalo Farm,0,,Species,Pontedaria cordata,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Pontedaria cordata (Pickerel weed)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:50pm,,,,
Punica granatum 'Eight Ball' Pomegranate,Interesting,0,,Clone,Punica granatum 'Eight Ball' ,,unknown,,,,,,Europe,"fruit,deer ignore",,,,"Punica 'Eight Ball' is a 1997 Plant Delights/JLBG introduction. It is the tallest of two dwarf pomegranate seedlings we selected in 1986 from a batch that survived our -9 degrees F winter of 1983/1984, with minimal damage. Punica 'Eight Ball' was selected for its large 2.5"" diameter fruit size, hardiness, and giant, nearly black fruit (resembling an eight ball). Our 35 year-old specimen is now 8' tall. Punica 'Eight Ball' is great for the edible garden as long as you are one of those folks who think pomegranates taste good! Deer, however, don't think much of pomegranates, so that's a good thing.",,,,,,,,,,,,,1/16/2022 3:22pm,,,,
Pycnanthemum flexuosum (Appalachian mountain mint),Dutch Buffalo Farm,0,,Species,Pycnanthemum flexuosum,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Pycnanthemum flexuosum (Appalachian mountain mint)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:50pm,,,,
Pycnanthemum loomisii (Loomis mountain mint),Dutch Buffalo Farm,0,,Species,Pycnanthemum loomisii,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Pycnanthemum loomisii (Loomis mountain mint)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:50pm,,,,
Pycnanthemum tenuifolium (Narrow leafed mountain mint),Dutch Buffalo Farm,0,,Species,Pycnanthemum tenuifolium,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 2",Pycnanthemum tenuifolium (Narrow leafed mountain mint)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:50pm,,,,
Kieffer Pear,Interesting,0,,,Pyrus communis,,,,,,,,Cultivar,X,,,,"Hearty in Carolinas per growingsmallfarms list; Height20' - 30';  Spread 10' - 20' Tree Form Modified Leader; https://plants.ces.ncsu.edu/plants/pyrus-communis-kieffer/  ""It has an unusual ancestry, being probably a seedling of a Chinese pear (Pyrus prunifolia) crossed with the widely-grown European pear (Pyrus communis) Barlett. Although in most respects it can be considered a European pear, the crisp coarse flesh hints at the Chinese ancestry."" -- https://www.orangepippin.com/varieties/pears/kieffer ",,"Kieffer Pear@Chestnut Hill,Kieffer Pear@Willis (GA)",Better with other plant,,,,,,,,,,8/6/2021 7:43am,,,,
Potomac pear,Interesting,0,,,Pyrus communis,,,,,,,,Cultivar,fruit,,,,"Hearty in Carolinas per growingsmallfarms list
Facts of note:  This pear is a great fresh-market pear for commercial growers and homeowners that combines superior resistance to fire blight with good-quality fruit. Highest quality fire blight resistant variety. A cross of Moonglow and Buerre D’Anjou developed by the USDA and Ohio State University.",,,,,,,,,,,,,7/2/2021 7:29pm,,,,
Ranunculus fascicularis ,,0,,,Ranunculus fascicularis ,,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",Prairie Moon,,,,,,,,,,,,8/20/2023 6:16pm,,spring,yellow,
Ratibida columnifera (Thimble flower),Dutch Buffalo Farm,0,,Species,Ratibida columnifera,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Ratibida columnifera (Thimble flower)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Hill hardy rosemary,Have,1,"""Hill hardy rosemary (DEAD, 2)""",Clone,Rosemary officinalis,,no patent,,,,,,Cultivar,landscaping,,,,,,,,,,,,,,,,,6/24/2021 11:12am,,,,
Ruellia humilis Wild Petunia,,0,,,Ruellia humilis,,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",Prairie Moon,,,,,,,,,,,,8/20/2023 6:17pm,,summer,pink purple,
Sabatia kennedyana (Plymouth rose gentian),Have,4,"""Sabatia kennedyana (Plymouth rose gentian) (OCZSun, 203)"",""Sabatia kennedyana (Plymouth rose gentian) (DEAD, 204)"",""Sabatia kennedyana (Plymouth rose gentian) (DEAD, 205)"",""Sabatia kennedyana (Plymouth rose gentian) (DEAD, 206)""",Species,Sabatia kennedyana,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Sabatia kennedyana (Plymouth rose gentian)@Dutch Buffalo Farm,,,,,,,,,,,5/5/2024 5:28pm,,,,
Sagittaria lancifolia (Bull tongue arrowhead),Dutch Buffalo Farm,0,,Species,Sagittaria lancifolia,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Sagittaria lancifolia (Bull tongue arrowhead)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Saraurus cerneus (Lizards tail),Dutch Buffalo Farm,0,,Species,Saraurus cerneus,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Saraurus cerneus (Lizards tail)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Schoenoplectus pungens (common three-square),Dutch Buffalo Farm,0,,Species,Schoenoplectus pungens,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Schoenoplectus pungens (common three-square)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Scirpus cypernius (Wool grass),Dutch Buffalo Farm,0,,Species,Scirpus cypernius,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Scirpus cypernius (Wool grass)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Scoenoplectus tabernaemontani (Bull rush),Dutch Buffalo Farm,0,,Species,Scoenoplectus tabernaemontani,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Scoenoplectus tabernaemontani (Bull rush)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Scutellaria incana (Skullcap),Have,4,"""Scutellaria incana (Skullcap) (GHpot, 199)"",""Scutellaria incana (Skullcap) (GHpot, 200)"",""Scutellaria incana (Skullcap) (GHpot, 201)"",""Scutellaria incana (Skullcap) (GHpot, 202)""",Species,Scutellaria incana,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 2",Scutellaria incana (Skullcap)@Dutch Buffalo Farm,,,,,,,,,,,5/5/2024 5:28pm,,,,
Scutellaria integrifolia (Large flower skullcap),Dutch Buffalo Farm,0,,Species,Scutellaria integrifolia,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Scutellaria integrifolia (Large flower skullcap)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Silene virginica (Fire pink),Dutch Buffalo Farm,0,,Species,Silene virginica,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 2",Silene virginica (Fire pink)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Silphium mohrii (Shaggy rosinweed),Dutch Buffalo Farm,0,,Species,Silphium mohrii,,species,,,,,,US - Southeast,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Silphium mohrii (Shaggy rosinweed)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Sisyrinchium angustifolium (Narrow leafed blue-eyed grass),Dutch Buffalo Farm,0,,Species,Sisyrinchium angustifolium,,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 2",Sisyrinchium angustifolium (Narrow leafed blue-eyed grass)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Coleus - see notes,Interesting,0,,Clone,Solenostemon scutellariodes,,,,,,,,,,,,,"These are selections to look for

Yellows
- Under the Sea™ Golden Guppy Coleus, Painted Nettle - Grows To: 8-12""H x 18-24""W space about 10-12"" apart
- Under the Sea™ Lime Shrimp Coleus, Painted Nettle - compact, densely growing semi-dwarf plant growing to about 12-18""H x 12-18""W.

Purples


Berm
- Under the Sea™ King Crab Coleus, Painted Nettle - rusty reds and dark oranges overlaid with dark purple veining and edged with spine-like teeth tipped in chartreuse; robust 18-24"" high and wide.
- Under the Sea™ Pink Reef Coleus, Painted Nettle - deep neon to rosy pink accented with magenta veining and is edged with a narrow contrasting line of neon green and eggplant purple - about 20-24"" high and wide.
- Under the Sea™ Red Snapper Coleus, Painted Nettle - eggplant, dark maroon, burgundy, and purple with lighter veining and is surrounded by a broad band of starkly contrasting, glowing magenta with fine veins of hot fuchsia. about 12-18""H x 18-24""W. 


",,,,,,,,,,,,,4/1/2022 7:20am,,,,
